bap87,bap9201,bap9001,bap9002,bap9003,bap96,name
4.0,-2.0,1,-1,2,-2.0,Jakob
3.0,5.0,-2,1,4,1.57,Luca
,-1.0,-1,2,-1,1.92,Emilia
1.0,9.0,-2,2,4,1.85,-1
-1.0,4.0,2,3,1,1.91,Johanna
3.0,4.0,-1,4,-2,1.8,Paul
1.0,9.0,2,-1,-1,1.8,
5.0,6.0,1,-1,1,1.96,Mia
5.0,5.0,5,3,1,1.64,Ben
-2.0,4.0,4,-1,-2,1.93,Jakob
-1.0,4.0,2,1,5,1.93,Anton
-2.0,5.0,3,-2,4,,Charlotte
3.0,-1.0,2,1,2,1.74,Luca
2.0,-2.0,-2,4,-1,1.65,Maria
5.0,-1.0,-2,-1,-1,1.8,Johanna
4.0,5.0,1,3,-1,1.58,Emma
3.0,7.0,1,2,-2,1.95,Felix
3.0,,5,3,-2,1.98,David
-2.0,8.0,1,4,5,1.61,-2
2.0,8.0,3,1,2,1.83,Anton
